[2025-10-12 09:14:17] [INFO] [MulticastManager] [MULTICAST] Đã dọn dẹp tất cả groups
[2025-10-12 10:05:02] [INFO] [MulticastManager] [MULTICAST] Creating group for ROOM_0_3159969343408 at 239.0.0.10:5756
[2025-10-12 10:05:02] [DEBUG] [MulticastManager] [MULTICAST] Socket bound to port 5756 (Thread: MainThread, Func: create_group)
[2025-10-12 10:05:02] [INFO] [MulticastManager] [MULTICAST] ✅ Room ROOM_0_3159969343408 joined group 239.0.0.10:5756
[2025-10-12 10:05:02] [DEBUG] [MulticastManager] [MULTICAST] Group created: 1 active groups (Thread: MainThread, Func: create_group)
[2025-10-12 10:05:02] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_3159969343408 at 239.0.0.10:5756 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:10:14] [INFO] [MulticastManager] [MULTICAST] Creating group for ROOM_0_2425249166832 at 239.0.0.10:5567
[2025-10-12 10:10:14] [DEBUG] [MulticastManager] [MULTICAST] Socket bound to port 5567 (Thread: MainThread, Func: create_group)
[2025-10-12 10:10:14] [INFO] [MulticastManager] [MULTICAST] ✅ Room ROOM_0_2425249166832 joined group 239.0.0.10:5567 (non-blocking)
[2025-10-12 10:10:14] [DEBUG] [MulticastManager] [MULTICAST] Group created: 1 active groups (Thread: MainThread, Func: create_group)
[2025-10-12 10:10:14] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2425249166832 at 239.0.0.10:5567 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:11:00] [INFO] [MulticastManager] [MULTICAST] Creating group for ROOM_0_1434254773616 at 239.0.0.10:5893
[2025-10-12 10:11:00] [DEBUG] [MulticastManager] [MULTICAST] Socket bound to port 5893 (Thread: MainThread, Func: create_group)
[2025-10-12 10:11:00] [INFO] [MulticastManager] [MULTICAST] ✅ Room ROOM_0_1434254773616 joined group 239.0.0.10:5893 (non-blocking)
[2025-10-12 10:11:00] [DEBUG] [MulticastManager] [MULTICAST] Group created: 1 active groups (Thread: MainThread, Func: create_group)
[2025-10-12 10:11:00] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_1434254773616 at 239.0.0.10:5893 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [INFO] [MulticastManager] [MULTICAST] Creating group for ROOM_0_2464133200496 at 239.0.0.10:5105
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Socket bound to port 5105 (Thread: MainThread, Func: create_group)
[2025-10-12 10:13:27] [INFO] [MulticastManager] [MULTICAST] ✅ Room ROOM_0_2464133200496 joined group 239.0.0.10:5105 (non-blocking)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Group created: 1 active groups (Thread: MainThread, Func: create_group)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:27] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:28] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:29] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:30] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:31] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:32] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:33] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:33] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:33] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
[2025-10-12 10:13:33] [DEBUG] [MulticastManager] [MULTICAST] Broadcast to ROOM_0_2464133200496 at 239.0.0.10:5105 (Thread: MainThread, Func: broadcast_to_room)
